date,Sub,FLOW,FLOW_lag1,FLOW_lag2,FLOW_lag3,TN,TN_lag1,TN_lag2,TN_lag3,TP,TP_lag1,TP_lag2,TP_lag3
2018-10-29,3,3.94,5.2,4.74,4.61,0.34075954126715546,0.48299501424501423,0.2954563213002031,0.8034064433196754,0.0012660979507426208,0.022191061253561253,0.0030033989685888415,0.060506547762513054
2018-10-29,4,3.77,4.67,4.41,6.77,0.5157677571470675,0.6741216591323658,0.734861845972957,2.4447453361781277,0.0018543078887906473,0.028253628360694744,0.03543083900226757,0.3248263034082827
2018-10-29,5,2.51,2.65,2.62,2.69,0.6501770694997786,0.8298392732354997,0.8702643483177833,0.9465785488090321,0.030618267670060498,0.050227113906359186,0.048593440769013285,0.0709933911606774
2018-10-29,6,1.29,1.88,1.31,1.71,0.24493970714900945,1.1204688731284478,0.7836796720384506,1.1438704786658003,0.009151593453919034,0.13359436564223798,0.054247950240316645,0.10829542993285683
2018-10-29,7,4.47,6.44,4.6,9.57,0.04039274173502361,0.3899959742351046,0.12429549114331723,1.6206122527961606,0.004686593752589278,0.05912842190016102,0.02146235909822866,0.26486125624056656
2018-10-29,8,0.974,1.13,0.837,0.997,0.05252300555175299,0.5233939691904295,0.08172374883844417,1.2769790854043612,0.0036124420107993003,0.0737463126843658,0.007370348245497589,0.17065084141312828
2018-10-29,9,0.71,1.09,0.708,1.75,3.4722222222222223,3.3448012232415896,5.21487235823394,3.9880952380952377,0.0184207094418362,0.17201834862385318,0.042830613098974686,0.289021164021164
2018-10-29,10,2.98,4.09,2.47,3.82,0.05476323639075316,0.5659693923752603,0.07403658719448192,1.0180337405468296,0.006136589609743972,0.11008104681698812,0.010918053681211574,0.19179028504944734
2018-10-29,11,1.91,2.4,1.9,3.54,0.03950940469265076,0.5256558641975309,0.17117446393762184,2.4815599497802885,0.0032480124103160756,0.05883487654320987,0.024853801169590645,0.36618539443398196
2018-10-29,12,0.75,0.942,0.791,0.929,0.033950617283950615,0.5762463631359597,0.03540993585241372,0.6802415978949886,0.002237654320987654,0.05701030117165998,0.0028532799550498662,0.07039130088107483
2018-10-29,13,1.24,1.53,1.48,1.63,0.02454823775388291,0.32528443476155894,0.30655655655655656,0.5559815950920245,0.001045400238948626,0.031923263132413456,0.028465965965965966,0.061775732788002725
2018-10-29,14,0.421,0.575,0.538,0.296,0.020398961907275446,0.024154589371980676,0.039153930882555414,0.016227164664664662,1.124417172516935e-05,0.0001916264090177134,0.0013811441553077239,0.0
2018-10-29,15,0.661,0.955,0.925,0.971,0.015321202442987616,0.01939111886755866,0.01689189189189189,0.07938551321661518,7.984535216002689e-06,0.0001430095016482451,0.0001057307307307307,0.0038500781935385435
2018-10-29,16,3.17,3.95,3.71,5.97,0.6097382871830821,0.7061650257852788,0.7830438254966556,2.6948011663254543,0.0016795186353545973,0.023411861228316923,0.03306878306878307,0.3567218810099882
2018-10-29,17,1.07,1.26,1.18,1.1,0.017198857736240913,0.03215020576131687,0.0295236974262398,0.1515151515151515,2.6068708895811696e-05,0.0008717298647854203,0.0005218141870684243,0.008785774410774409
2018-10-29,18,0.73,1.05,1.02,0.573,0.02663622526636225,0.030643738977072305,0.042665214233841675,0.02262297201215177,8.403094875697614e-06,0.0001455026455026455,0.001015568264342774,0.0
2018-10-29,19,1.05,1.32,1.21,1.07,0.0038139329805996465,0.0042350589225589215,0.004304407713498623,0.004283489096573208,0.0,0.0,0.0,0.0
2018-10-29,20,2.09,3.42,3.21,4.9,0.022982013113592065,0.03326700238249946,0.05949290411907234,1.025132275132275,6.479266347687401e-05,0.00032251732726878925,0.004182531441098419,0.1445578231292517
2018-10-29,21,1.06,1.62,1.06,1.37,0.18453004891684133,0.9716506630086876,0.5273846960167714,0.8701676128683427,0.009095475192173304,0.135745313214449,0.040946016771488465,0.09208569883752364
2018-10-29,22,0.547,0.81,0.536,0.651,0.6263118694562936,1.1259716506630084,0.9263577943615255,1.352975479319565,0.004972408423048276,0.08244741655235481,0.044914317302377,0.08533879501621436
2018-10-29,23,0.921,1.4,0.961,1.25,0.07087706599107249,0.9176587301587302,0.5178826068524299,0.8407407407407407,0.007841717939437809,0.13640873015873017,0.05768971364704976,0.10833333333333332
2018-10-29,24,4.42,6.4,4.52,5.67,0.17963381933970166,0.906032986111111,0.6324770567027205,0.9573616826703246,0.006939207306854365,0.11140046296296297,0.053261225827597514,0.10328891501731008
2018-10-29,25,2.73,4.01,2.72,3.36,0.16915954415954415,0.8428004063914288,0.5616830065359476,0.8818342151675485,0.006105006105006104,0.10448415997044427,0.04850898692810457,0.09369488536155202
2018-10-29,26,10.0,12.7,9.83,10.8,0.2743055555555556,0.6534339457567804,0.543969707245394,0.753386488340192,0.017708333333333333,0.07226961213181686,0.042858219358728,0.07566015089163236
2018-10-29,27,3.16,4.31,3.88,3.74,0.4248710736052507,0.580046403712297,0.3549780450553646,0.9531590413943355,0.00154565166432255,0.02671973017100627,0.0035199503627338672,0.07272479698950286
2018-10-29,28,22.9,29.5,23.6,34.4,0.39523693999676535,0.7140615191462648,0.637554927809165,1.6856427648578811,0.009855652595827269,0.05845888261142498,0.03177966101694915,0.2126399655469423
2018-10-29,29,38.0,52.9,37.9,59.3,1.008162768031189,1.1377161660715536,1.1574074074074074,1.9244581849978137,0.014010721247563352,0.06279318070433382,0.03145460764194274,0.16941477734057833
2018-11-05,1,18.6,18.9,19.5,20.0,2.016129032258064,1.3043797766019989,1.4482431149097814,1.7824074074074074,0.011449621664675426,0.00832843425436018,0.008131528964862297,0.00920138888888889
2018-11-05,2,4.06,4.17,4.28,4.44,0.36204615945995255,0.36082245314859224,0.3434363101419176,0.3310602268935602,0.0006528233898923555,0.0008021360689226396,0.0007923373139494634,0.0008836961961961961
2018-11-05,3,2.5,2.57,2.64,2.74,0.4537037037037037,0.4683671998847096,0.4379734848484848,0.4224114625574479,0.0004097222222222222,0.0005179060383340539,0.0004278900112233445,0.0004899972965666396
2018-11-05,4,2.51,2.57,2.67,2.79,0.7839014313117899,0.716061392131431,0.7239214870301012,0.7508628700384973,0.0009499040873542865,0.0007205649228995533,0.0006545637397697322,0.0009002057613168723
2018-11-05,5,2.21,2.22,2.25,2.27,0.7698592257415786,0.7298965632298965,0.7767489711934156,0.7291156795562082,0.03320345232109938,0.03326242909576242,0.03302469135802469,0.032427802251590795
2018-11-05,6,1.04,1.05,1.08,1.12,0.29714209401709396,0.2623456790123456,0.3193587105624142,0.3368882275132275,0.004395922364672364,0.00205026455026455,0.002004029492455418,0.0029658564814814808
2018-11-05,7,2.66,2.75,2.87,3.01,0.0058740601503759395,0.0065656565656565654,0.007339656729900632,0.008344099913867354,0.0,0.0,0.0,2.0956379968007876e-06
2018-11-05,8,0.626,0.652,0.682,0.717,0.0069333510827121045,0.007899483072029083,0.009130281307700662,0.01073467121235601,0.0,0.0,1.8837569240795045e-06,7.264063226406322e-06
2018-11-05,9,0.568,0.486,0.574,0.633,4.340277777777778,3.191205608901082,4.678022970705897,5.375636299806915,0.006520605112154408,0.0042866941015089165,0.007057362240289069,0.005485343163068281
2018-11-05,10,1.73,1.81,1.91,2.03,0.0074930421751231,0.008440761203192142,0.009574364940857089,0.011117952928297755,0.0,0.0,0.0,2.788040503557745e-06
2018-11-05,11,1.34,1.38,1.43,1.49,0.005717938087341072,0.006365740740740741,0.007122507122507122,0.008000869997514292,0.0,0.0,0.0,3.0449913000248565e-06
2018-11-05,12,0.572,0.586,0.6,0.616,0.004734848484848485,0.005293262545822273,0.005960648148148148,0.006764069264069264,0.0,0.0,0.0,0.0
2018-11-05,13,0.899,0.921,0.946,0.974,0.004802146417830511,0.005391181083363493,0.006117375303421814,0.007022872461784166,0.0,0.0,0.0,0.0
2018-11-05,14,0.186,0.191,0.198,0.209,0.0046420748705694945,0.005496170254023657,0.006605405910961466,0.008140616693248271,0.0,0.0,0.0,0.0
2018-11-05,15,0.396,0.407,0.42,0.435,0.0035657500935278707,0.004123441623441623,0.004850088183421516,0.005826947637292464,0.0,0.0,0.0,0.0
2018-11-05,16,2.04,2.09,2.18,2.29,0.9701797385620914,0.8805156831472621,0.8866377845735642,0.9148067281255053,0.0012084694989106751,0.0009082048555732767,0.0008229272850832482,0.0011270823224971695
2018-11-05,17,0.6,0.624,0.653,0.692,0.004320987654320987,0.0049894646248812916,0.005849072656117066,0.006941099336330549,0.0,0.0,0.0,0.0
2018-11-05,18,0.354,0.364,0.377,0.393,0.006146683406570413,0.007058913308913309,0.008258424206700069,0.009895391574780888,0.0,0.0,0.0,0.0
2018-11-05,19,0.435,0.461,0.495,0.543,0.0013542997020008513,0.0015289828874427572,0.001751309390198279,0.002010009549143987,0.0,0.0,0.0,0.0
2018-11-05,20,0.861,0.902,0.924,1.04,0.004315072912633888,0.005363595302619693,0.008317299983966651,0.007779113247863246,0.0,0.0,0.0,0.0
2018-11-05,21,0.829,0.847,0.865,0.888,0.16195326810525842,0.11915693733875553,0.15922714622136588,0.14206915248581914,0.000812558638252245,0.0009278389960208142,0.0006502890173410404,0.0005096242075408742
2018-11-05,22,0.283,0.265,0.296,0.345,2.9160123020547046,1.790705800139762,2.299174174174174,2.677133655394525,0.001226933647428347,0.003057302585604472,0.001173048048048048,0.0013419216317767043
2018-11-05,23,0.689,0.708,0.731,0.754,0.005795436219964522,0.006359201715840135,0.007045776967117596,0.00792071912761568,0.0,0.0,0.0,2.379285784458198e-06
2018-11-05,24,3.06,3.1,3.24,3.4,0.3695382473977245,0.2426821983273596,0.3165009144947416,0.3812636165577342,0.0015205156136528686,0.000888590203106332,0.0007287379972565157,0.0010552832244008715
2018-11-05,25,1.7,1.73,1.82,1.94,0.48474945533769065,0.27630593020766425,0.3752035002035002,0.4772814051164566,0.00018314270152505448,0.00042014557910511664,0.00017297517297517294,0.00022074264986636117
