date,sub,FLOW,FLOW_lag1,FLOW_lag2,FLOW_lag3,TN,TN_lag1,TN_lag2,TN_lag3,TP,TP_lag1,TP_lag2,TP_lag3,PCP,PCP_lag1,PCP_lag2,PCP_lag3,wt,chl,Green,Red,Blue_Green,Red_NIR
2021-01-25,29,6.01,5.91,5.98,6.11,11.939976582239478,11.887416180986401,11.38052768487551,12.445444626295687,0.006952147655142663,0.010614463871655072,0.018619162640901767,0.09300933503061161,0.0,0.0,0.0,0.5,8.5,18.4,0.0908263469675599,0.0997734661495063,0.672173794551079,0.836818266184296
2021-02-03,29,7.12,7.39,7.45,6.4,8.875624219725344,8.347742194156268,8.389261744966442,10.778356481481481,0.014695172700790677,0.05121410314238461,0.24080288342033307,0.01000072337962963,0.0,0.0,7.0,0.0,4.6,7.7,0.0549531278538812,0.0570684931506849,0.542391651687662,0.912962609180211
2021-02-08,29,5.74,5.81,5.99,6.22,10.565879468318492,12.07209791547141,12.907314660236194,13.769798737644397,0.01536488579171506,0.009542136801172945,0.01155475174673839,0.029586459449803502,0.0,0.0,0.0,0.0,6.5,15.8,0.0945834081976417,0.0869202695115103,1.06768887762417,1.03455439002549
2021-02-16,29,5.61,5.57,5.52,5.51,10.64567241037829,11.740308531152337,9.959574610842727,11.258990387847012,0.012523106885851983,0.016103963029456745,0.0072757313472893185,0.0059865900383141765,1.5,0.0,0.0,0.0,6.7,13.2,0.0775837442922374,0.0806192503805175,0.602180539639245,0.91720915974473
2021-02-23,29,5.09,5.2,5.46,5.52,14.029869751873681,12.041488603988602,9.645061728395062,10.462795222758992,0.014325474787164373,0.012041488603988603,0.01011141636141636,0.009246678743961354,0.0,0.0,0.0,0.0,9.7,21.2,0.0858610892756878,0.0932220101066816,0.853762795478095,0.89379900138873
2021-04-01,29,11.2,13.0,14.7,15.8,4.588293650793651,4.620726495726496,4.015495086923659,3.670007032348804,0.006283068783068784,0.006419159544159544,0.010078105316200556,0.014870487576183778,0.0,0.0,0.0,0.0,16.4,46.8,0.0906357792620864,0.0999055534351145,0.679976807631582,0.808683810541608
2021-06-29,29,26.9,23.7,23.1,24.1,2.9171829822387445,2.9545632130020314,2.169512586179253,3.3665667742431222,0.1385446785075038,0.07716049382716049,0.022847522847522846,0.1267865375749193,2.5,0.0,0.0,11.0,27.9,214.0,0.0898910750636132,0.0852788072519084,0.616238796066801,0.622913198814699
2021-08-02,29,42.8,34.6,13.4,10.1,3.0828141225337484,2.1442143010062082,4.085475400773907,5.454712137880454,0.099515403253721,0.3378559195033183,0.07022180762852404,0.004308764209754308,17.0,18.0,21.0,0.0,27.1,126.3,0.0907055712290795,0.0910568686443321,0.697998448703239,0.7807724029754851
2021-08-18,29,21.0,24.8,12.8,14.4,3.0423280423280423,2.366151433691756,4.114221643518518,3.5284850823045266,0.028053350970017633,0.15540994623655913,0.00684497974537037,0.013422710905349793,1.0,0.0,0.0,0.0,27.0,182.6,0.0934384615384615,0.0867695536215609,0.851379419832421,0.714573799608356
2021-08-23,29,109.0,31.7,30.7,16.1,1.9856439007815154,1.2231277018343263,2.4693871395825795,3.2709339774557162,0.36421168875297316,0.02212583245706274,0.14363916033297142,0.015671727628249366,61.5,0.0,31.5,0.0,24.8,82.7,0.0934384615384615,0.0867695536215609,0.851379419832421,0.714573799608356
